FileName,Next 1990,2012 Songbook,2017 Songbook,Tags,Quality,VC Choice,Notes,,,,,
9_to_5_(Jon_-_Colourchord_2025-03).mp3,,N,N,,,Y,"IFASCO 2024"
A_Bi_O_(Unknown).mp3,,Y,Y,Call and response,Fine,Y,,,,,,
A_borton_ablakaban_(Baloghs_2025-01).mp3,,N,N,,,Y,"Lucy Balogh"
A_Hundred_Years_From_Now_(Not_Recorded_Yet).mp3,,N,N,,,N,"Not recorded yet"
Adieu_Sweet_Nancy_(London_Glee_2024-09).mp3,,N,N,,Fine,Y,From OGVCC,,,,,
Ah_Poor_Bird.mp3,,N,N,Round,Fine,Y,,,,,,
Ain't_Gonna_Study_War.mp3,,Y,Y,,Fine,N,Un-Archived,,,,,
Ain't_Gonna_Study_War_(Parts).mp3,,Y,Y,Parts,Good,Y,,,,,,
Ain't_Gonna_Study_War_(With_Guitar).mp3,,N,N,With Guitar,Good,Y,,,,,,
Alcohol.mp3,Y,Y,Y,,Fine,Y,From OGVCC,,,,,
All_For_Me_Grog.mp3,,N,N,,Good,Y,,,,,,
All_On_The_Shore.mp3,,N,Y,,Good,Y,*Valuable! Can't find it anywhere else on the internet,,,,,
All_Things_Shall_Perish_(Putney_Allstars).mp3,,Y,Y,Round,Good,Y,,,,,,
Ally_Bally.mp3,,N,N,,Fine,Y,,,,,,
An_Old_Woman_Of_Yorkshire.mp3,,N,N,,Fine,Y,,,,,,
Anchored_In_Love_(Barnyard).mp3,,Y,Y,,Fine,Y,,,,,,
Angel_Band_(Horton_Rd_Vol_2).mp3,,Y,Y,,Bin,N,,,,,,
Angel_Band_(02).mp3,,Y,Y,,Good,Y,,,,,,
Angels_Watching_Over_Me_(Putney_Allstars).mp3,,N,Y,,Good,Y,"Angels (All Night, All Day) in Songbook 2017",,,,,
Animal_Fair.mp3_(Oxford_Glee_2024-04).mp3,,Y,Y,,Fine,Y,From OGVCC,,,,,
Arise_Song_(Campchiefs_2024-01).mp3,,Y,Y,,Fine,Y,From OGVCC,,,,,
Arise_Song_2.mp3,,Y,Y,,Fine,Y,From OGVCC,,,,,
As_I_Roved_Out.mp3,,N,Y,,Good,Y,Renamed from Dary_Fah_Diliddle_Air_Yo.mp3,,,,,
