FileName,HasLyrics,SongBookTitle,Remarks
A_Bee_O.mp3,N,,,
Ah_Poor_Bird.mp3,Y,,,
Ain't_Gonna_Study_War.mp3,Y,,,
Ain't_Gonna_Study_War_(Parts).mp3,Y,,,
Ain't_No_Sunshine_When_She's_Gone.mp3,N,,,
All_For_Me_Grog.mp3,Y,,,
All_On_The_Shore.mp3,N,,,
All_Things_Shall_Perish_(Putney_Allstars).mp3,Y,,,
Ally_Bally.mp3,Y,,,
An_Old_Woman_Of_Yorkshire.mp3,N,,,
Anchored_In_Love_(Barnyard).mp3,Y,,,
Angel_Band_(01).mp3,N,,,
Angel_Band_(02).mp3,N,,,
Angels_Watching_Over_Me_(Putney_Allstars).mp3,Y,,,
As_She_Moved_Through_The_Fair.mp3,Y,,,
Ash_Yeay_Tatalay.mp3,N,,,
Baba_Kukuduku_(Fireside).mp3,N,,,
Baba_Kukuduku_(Parts).mp3,N,,,
Babes_In_The_Wood.mp3,N,,,
Baby_Cares_For_Only_Me.mp3,N,,,
Baby_Tonight.mp3,N,,,
Banjo_Break.mp3,N,,,
Banks_Of_The_Ohio.mp3,N,,,
Barnfunk_(01).mp3,N,,,
Barnfunk_(02).mp3,N,,,
Batan_Jo.mp3,N,,,
Beanz_Means_Heinz.mp3,N,,,
Before_I_Met_You.mp3,Y,,,
Before_You_Make_A_Promise_(Putney_Allstars).mp3,N,,,
Belle_Mama.mp3,N,,,
Blackbird.mp3,N,,,
Blackbirds_And_Thrushes_(01).mp3,N,,,
Blackbirds_And_Thrushes_(02).mp3,N,,,
Blackbirds_And_Thrushes_(03).mp3,N,,,
Blackleg_Miner_(Slow).mp3,N,,,
Blackleg_Miner_(Wagon_Band).mp3,N,,,
Blow_The_Candle_Out.mp3,N,,,
Blue_Lake_And_Rocky_Shore.mp3,Y,,,
Blustery_Fireside_(Pipes).mp3,N,,,
Boggy_Boggy.mp3,N,,,
Bon_Soir_(01).mp3,N,,,
Bon_Soir_(02).mp3,N,,,
Break_Em_On_Down.mp3,N,,,
Bring_Me_Little_Water_Sylvie_(01).mp3,N,,,
Bring_Me_Little_Water_Sylvie_(Parts).mp3,N,,,
Broken_Rib.mp3,N,,,
Buirski_Banjo_Break.mp3,N,,,
Burning_Of_Auchindon_(In_The_Crypt).mp3,N,,,
By_The_Waters_Of_Babylon.mp3,N,,,
C_O_F_F_E_E.mp3,N,,,
Cakewalk_Blues.mp3,N,,,
Call_On.mp3,N,,,
Can_You_Get.mp3,N,,,
Captain_Don't_You_Know_Me.mp3,N,,,
Careless_Love.mp3,N,,,
Chicken_On_A_Raft.mp3,Y,,,
Chickens.mp3,Y,,,
Children_Go_Where_I_Send_Thee.mp3,N,,,
Cloud_Song_(Glee_07).mp3,N,,,
Cluck_Old_Hen.mp3,Y,,,
Cocaine.mp3,N,,,
Come_To_The_Colours.mp3,Y,,,
Country_Dancing_(01).mp3,N,,,
Country_Dancing_(02).mp3,N,,,
